ReportDate,Currency in circulation -Total ,`Other' deposits with RBI ,Bankers' deposits with RBI ,Reserve Money (Liabilities/Components) ,RBI's Claims on - Government (net),RBI's Claims on - Central Govt,RBI's Claims on Banks & Commercial sector,RBI's Claims on Banks (Including NABARD),RBI's claims on Commercial sector (Excluding NABARD) ,Net foreign exchange assets of RBI ,Govt't currency liabilities to the public ,Net non-monetary liabilities of RBI 
06-Feb-09,668437,4901,212142,885480,-35907,-35866,9205,3992,5214,1221890,9917,319626
30-Jan-09,659143,6547,208748,874438,-46952,-47690,10659,6261,4399,1214580,9917,313767
23-Jan-09,660087,5226,206808,872121,-49189,-49453,10626,6527,4099,1213308,9841,312465
16-Jan-09,662907,5198,225420,893525,-28137,-28495,11935,8935,3001,1225451,9841,325566
09-Jan-09,657497,5319,236269,899085,-18267,-18680,8346,5946,2401,1241664,9841,342500
02-Jan-09,648453,5632,210474,864559,-56450,-56468,9709,7308,2401,1243168,9841,341710
26-Dec-08,651086,4848,232509,888443,-35142,-35101,15616,13535,2081,1216622,9841,318494
19-Dec-08,651421,12463,222561,886445,-31632,-31895,13014,11634,1381,1194060,9841,298839
12-Dec-08,653648,5042,231552,890242,-26269,-26550,9986,8605,1381,1216602,9787,319864
05-Dec-08,647991,4770,218802,871563,-43873,-44013,7409,6029,1381,1217548,9787,319309
28-Nov-08,642241,5166,246439,893846,-36167,-36126,23841,22366,1475,1230173,9787,333788
21-Nov-08,645632,4908,224258,874798,-61506,-61503,24590,23075,1514,1226827,9787,324900
14-Nov-08,649798,6514,230579,886891,-50874,-52142,23181,21258,1923,1216039,9731,311186
07-Nov-08,649655,6480,212663,868798,-71456,-72661,19999,18073,1926,1199569,9731,289046
31-Oct-08,647935,5568,281596,935098,-8173,-9080,23932,21869,2062,1243182,9731,333573
24-Oct-08,638579,5006,224171,867756,-108911,-109174,14173,12792,1381,1285908,9731,333145
17-Oct-08,634027,5485,261654,901166,-98013,-99102,12265,10884,1381,1329530,9655,352270
10-Oct-08,632022,4848,338254,975125,-31276,-31630,10237,8385,1852,1331156,9655,344647
03-Oct-08,620904,5076,368694,994674,-24362,-24824,10521,8470,2051,1328969,9655,330110
26-Sep-08,613144,5428,338334,956906,-61862,-61827,7983,6116,1867,1350396,9655,349267
19-Sep-08,614954,5516,360766,981236,-44244,-44203,9960,8227,1733,1348018,9624,342122
12-Sep-08,617293,4923,336184,958400,-71788,-72144,4148,2685,1463,1320981,9624,304566
05-Sep-08,615548,4979,357921,978448,-57376,-57335,5181,3673,1507,1278741,9624,257723
29-Aug-08,611328,5216,330875,947419,-89230,-89189,3469,2089,1381,1290944,9624,267389
22-Aug-08,617810,4957,346810,969576,-67250,-67389,6352,4717,1635,1286560,9513,265600
15-Aug-08,620140,4935,335543,960618,-74109,-74067,6984,5394,1590,1265886,9513,247657
08-Aug-08,619111,5013,343408,967533,-52996,-52954,6114,4625,1489,1264130,9513,259229
01-Aug-08,614661,5051,323136,942848,-76573,-76532,3671,2290,1381,1292171,9513,285934
25-Jul-08,619817,4981,346104,970902,-43889,-43847,7064,5587,1478,1293203,9513,294990
18-Jul-08,625843,5069,320967,951879,-59096,-59055,5506,4068,1438,1311675,9513,315719
11-Jul-08,627875,5164,332997,966036,-52666,-52643,6656,5185,1471,1315942,9449,313344
04-Jul-08,623597,5079,287874,916550,-109022,-108981,2919,1538,1381,1330041,9449,316837
27-Jun-08,621983,5030,323739,950751,-82860,-82818,4625,3115,1510,1331638,9449,312101
20-Jun-08,627660,4912,299115,931686,-113222,-113206,3020,1612,1408,1340058,9449,307619
13-Jun-08,631067,4634,318909,954610,-96460,-96419,5419,3726,1693,1329365,9385,293099
06-Jun-08,627849,5043,299448,932340,-124207,-124165,1918,535,1383,1348200,9385,302957
30-May-08,622038,6685,327881,956604,-100575,-100534,4119,2684,1435,1337634,9385,293959
23-May-08,625079,6184,280639,911903,-144323,-144585,1549,166,1383,1349892,9385,304601
16-May-08,625864,6535,321958,954356,-100147,-100624,2572,1189,1383,1334885,9319,292272
09-May-08,622267,6126,286472,914866,-140575,-141151,1550,167,1383,1291011,9319,246440
02-May-08,613284,6219,298267,917770,-137939,-137970,1850,467,1383,1268097,9319,223558
25-Apr-08,610949,6157,271181,888286,-160485,-160915,1857,474,1383,1254863,9319,217267
18-Apr-08,611690,6160,290669,908518,-136217,-137570,1876,493,1383,1250240,9224,216605
11-Apr-08,606244,5321,262267,873832,-172832,-173751,1861,478,1383,1245575,9224,209996
04-Apr-08,593693,6015,263234,862942,-183608,-183697,2264,838,1426,1244778,9224,209717
28-Mar-08,591279,5246,272526,869051,-168235,-168194,5879,4000,1879,1237717,9224,215534
21-Mar-08,593602,4879,295730,894211,-139020,-138346,8574,6269,2305,1229994,9137,214474
14-Mar-08,590759,4818,268378,863955,-161454,-161412,1885,502,1383,1237462,9137,223076
07-Mar-08,585495,4815,282784,873094,-150024,-149983,2530,1147,1383,1227576,9137,216125
29-Feb-08,575434,4982,270106,850522,-172322,-172281,2500,797,1703,1200809,9137,189602
22-Feb-08,574806,4706,277868,857380,-155554,-155512,6732,4719,2013,1175609,9051,178457
15-Feb-08,574579,4684,250814,830077,-178091,-178084,1393,10,1383,1159543,9051,161818
08-Feb-08,569888,4743,270197,844828,-167867,-168149,1400,17,1383,1148301,9051,146057
01-Feb-08,561009,7260,308445,876714,-128558,-128517,2187,734,1453,1150271,9051,156237
25-Jan-08,563022,5031,269115,837168,-160892,-160877,3003,1620,1383,1134209,9051,148202
18-Jan-08,566389,4733,267055,838177,-155879,-155679,5890,4319,1571,1117181,9051,138066
11-Jan-08,563306,4801,258875,826982,-146349,-146308,1493,110,1383,1105278,8992,142432
04-Jan-08,556057,4883,244254,805194,-149592,-150278,1478,95,1383,1084577,8992,140261
28-Dec-07,553857,4984,272018,830859,-119393,-119921,3859,2307,1553,1085265,8992,147864
21-Dec-07,554449,4735,248590,807774,-140213,-140355,2314,842,1472,1077522,8992,140841
14-Dec-07,554017,4782,278065,836864,-110456,-110587,2849,1024,1824,1072621,8926,137076
07-Dec-07,550738,4712,259691,815141,-125983,-126194,1632,249,1383,1076554,8926,145989
30-Nov-07,544237,5366,263886,813489,-126815,-126921,2089,415,1674,1083300,8926,154011
23-Nov-07,547205,4757,240726,792688,-142122,-142103,1878,174,1704,1075467,8926,151462
16-Nov-07,551408,4830,268393,824631,-109364,-109348,2862,1154,1708,1065212,8755,142834
09-Nov-07,550619,5196,241318,797132,-128888,-130472,1389,6,1383,1061101,8755,145225
02-Nov-07,532329,4860,240482,777671,-137176,-138334,1402,19,1383,1047482,8755,142792
26-Oct-07,527022,4830,238095,769946,-137066,-137368,1383,0,1383,1035299,8755,138425
19-Oct-07,526800,4972,234279,766052,-141002,-140980,1402,19,1383,1037234,8680,140262
12-Oct-07,520548,4957,231763,757268,-136711,-136812,1383,0,1383,1008103,8680,124188
05-Oct-07,512544,5239,223688,741471,-134974,-135917,1383,0,1383,990937,8680,124555
28-Sep-07,507667,5554,267959,781180,-74426,-75277,1466,83,1383,982840,8680,137380
21-Sep-07,510903,5313,224347,740563,-78985,-79439,1568,185,1383,939485,8615,130121
14-Sep-07,513758,5027,234376,753160,-60418,-61877,1474,91,1383,937770,8615,134282
07-Sep-07,511451,5069,220264,736783,-72775,-75507,1484,101,1383,936257,8615,136798
31-Aug-07,506688,5011,234534,746234,-62939,-64271,1475,92,1383,935471,8615,136389
24-Aug-07,508609,5098,234660,748367,-60101,-60479,1491,108,1383,939991,8490,141504
17-Aug-07,512920,5010,214316,732246,-80206,-80193,3776,2364,1412,938645,8490,138459
10-Aug-07,512395,5031,228602,746027,-63265,-65262,1412,29,1383,929296,8490,129906
03-Aug-07,509645,16049,252045,777739,15827,14593,1397,14,1383,923779,8490,171755
27-Jul-07,509668,5834,244816,760318,9177,8152,1393,10,1383,910493,8490,169236
20-Jul-07,514638,12324,224980,751942,21884,21011,1394,11,1383,893889,8490,173715
13-Jul-07,518546,5232,212021,735799,14119,13448,1394,11,1383,884400,8427,172541
06-Jul-07,517618,11006,211266,739890,28167,27847,1394,11,1383,867527,8427,165624
29-Jun-07,515774,4731,211370,731874,25001,25042,2659,1276,1383,868044,8427,172256
22-Jun-07,521064,7032,192496,720592,-19731,-19690,2723,1337,1386,863408,8427,134235
15-Jun-07,524544,5375,212927,742846,1850,880,2745,1359,1386,862423,8356,132528
08-Jun-07,524943,14795,209064,748802,12657,11795,2727,1341,1386,856608,8356,131546
01-Jun-07,520079,5919,226187,752185,21965,21948,2814,1428,1386,842947,8356,123898
25-May-07,522858,5319,197666,725844,6304,5529,5817,4431,1386,830590,8356,125223
18-May-07,526949,5289,196176,728414,12772,11848,7133,5747,1386,832612,8227,132330
11-May-07,528690,7331,182376,718397,6348,4230,2981,1595,1386,841289,8227,140448
04-May-07,525528,6971,197376,729874,15929,14235,6049,4663,1386,832671,8227,133001
27-Apr-07,520898,6940,202508,730347,18546,17991,6708,5322,1386,838082,8227,141215
20-Apr-07,521436,6943,194021,722400,9588,9137,7951,6565,1386,855212,8161,158512
13-Apr-07,518475,7275,165497,691248,-18307,-18486,2765,1381,1384,866592,8161,167964
06-Apr-07,508053,8277,175964,692293,-12773,-12802,4728,3343,1384,862675,8161,170497
30-Mar-07,504935,5354,191330,701620,-2802,-2761,9108,7570,1537,866152,8161,178998
23-Mar-07,506566,4773,188131,699470,-149,-108,9152,7506,1646,862495,8103,180132
16-Mar-07,507932,4721,176341,688994,-3378,-3337,5778,4345,1433,863540,8103,185049
09-Mar-07,506716,4854,177776,689346,-1349,-1458,3085,1701,1384,858588,8103,179080
02-Mar-07,500790,4937,164954,670682,-19801,-19760,3172,1788,1384,859766,8103,180557
23-Feb-07,498154,4752,166890,669797,-14609,-14695,3512,2071,1441,852995,8103,180205
16-Feb-07,498951,4677,165642,669270,-32,-87,4380,2939,1441,830882,8103,174064
09-Feb-07,496350,4817,154369,655536,-75,-207,3878,2437,1441,813460,8064,169792
02-Feb-07,489948,5051,153462,648462,12629,12541,7151,5307,1844,791771,8064,171154
26-Jan-07,487707,4725,162127,654559,19039,18781,9704,7889,1815,789661,8064,171909
19-Jan-07,488261,5559,147830,641650,12242,12123,9711,7804,1907,787320,8064,175686
12-Jan-07,486460,5182,155522,647163,18544,18183,9543,7867,1677,788811,8027,177762
05-Jan-07,481032,5298,138973,625302,-312,-919,7028,5542,1486,779788,8027,169229
29-Dec-06,477139,5450,161981,644571,20026,19596,10479,8906,1574,781543,8027,175505
22-Dec-06,477692,5175,136366,619233,-1738,-1753,9220,7704,1515,783470,8027,179745
15-Dec-06,478800,4824,147030,630654,11995,11954,7839,6359,1480,780977,7990,178147
08-Dec-06,475930,4758,137990,618678,4774,4167,3692,2308,1384,781132,7990,178910
01-Dec-06,468260,5240,136137,609636,-3337,-3681,4673,3289,1384,780994,7990,180685
24-Nov-06,468547,5261,139890,613697,3426,3272,5283,3899,1384,771921,7990,174923
17-Nov-06,470545,4924,140434,615903,9101,8851,5442,4058,1384,763317,7952,169909
10-Nov-06,470602,4871,124169,599642,4017,3789,4732,3348,1384,744938,7952,161997
03-Nov-06,468226,4918,140081,613225,18417,18022,6043,4659,1384,745982,7952,165168
27-Oct-06,470842,4993,130375,606210,10732,10617,6807,5423,1384,752562,7952,171843
20-Oct-06,467906,5403,142558,615868,20124,20189,6806,5421,1384,750291,7900,169253
13-Oct-06,459206,5409,133400,598014,2776,2567,6045,4661,1384,747707,7900,166413
06-Oct-06,455288,5663,128351,589301,-5959,-6395,6118,4734,1384,750538,7900,169296
29-Sep-06,450860,5676,148531,605067,11016,10815,7154,5682,1472,756219,7900,177221
22-Sep-06,449687,5434,128821,583942,-9516,-9614,5604,4220,1384,761662,7857,181665
15-Sep-06,452715,5437,142287,600439,6920,6832,5523,4139,1384,760373,7857,180233
08-Sep-06,453315,5474,130314,589102,-5680,-6017,5111,3727,1384,759611,7857,177796
01-Sep-06,447997,5891,131878,585765,-7604,-8050,3978,2594,1384,770951,7857,189416
25-Aug-06,448829,5495,134841,589166,-3156,-3286,4095,2711,1384,766912,7857,186542
18-Aug-06,453650,5766,130758,590174,-1252,-1258,3225,1841,1384,765055,7857,184710
11-Aug-06,453500,5479,129318,588297,-2517,-2638,2712,1328,1384,764415,7824,184137
04-Aug-06,449534,5814,128371,583719,-769,-980,2657,1273,1384,767972,7824,193965
28-Jul-06,446782,6005,128568,581355,-2970,-2976,4319,2935,1384,759778,7824,187596
21-Jul-06,450244,5728,127058,583030,-1237,-1196,4088,2704,1384,760868,7824,188512
14-Jul-06,453296,5812,127297,586404,3383,3424,4100,2716,1384,751453,7792,180323
07-Jul-06,452351,5878,123690,581920,-2191,-2344,4044,2660,1384,749387,7792,177113
30-Jun-06,448769,5890,134269,588928,5759,5695,5572,4188,1384,747165,7792,177360
23-Jun-06,452918,5229,128308,586454,8189,8230,4047,2660,1387,744831,7792,178406
16-Jun-06,456252,6372,133883,596507,13473,13514,3854,2467,1387,745424,7749,173994
09-Jun-06,456190,6374,131793,594357,10744,10786,3969,2582,1387,744691,7749,172797
02-Jun-06,452026,6801,128033,586860,3181,3222,3183,1796,1387,756193,7749,183446
26-May-06,451642,6383,130562,588587,7734,7775,2764,1378,1387,741325,7749,170985
19-May-06,454851,6525,128074,589450,7760,7434,3709,2323,1387,736946,7709,166675
12-May-06,456623,6626,128288,591537,11510,11772,2852,1465,1387,734100,7709,164634
05-May-06,452433,6838,134468,593739,13276,13317,3657,2270,1387,725436,7709,156339
28-Apr-06,446376,6618,142207,595202,17929,16996,3827,2440,1387,719050,7709,153313
21-Apr-06,445643,6664,128062,580370,5559,4137,4733,3346,1387,705334,7656,142913
14-Apr-06,441715,6641,114660,563016,-9753,-10447,5151,3764,1387,699184,7656,139222
07-Apr-06,434027,6772,125662,566460,-2524,-2653,5678,4291,1387,684808,7656,129157
31-Mar-06,429578,6843,135511,571932,6599,5160,7182,5795,1387,672986,7656,122492
24-Mar-06,430719,6188,125273,562180,16054,16095,7316,5929,1387,660408,7609,129207
17-Mar-06,432851,5721,116137,554709,24836,24877,5600,4166,1435,645866,7609,129203
10-Mar-06,430913,5241,123140,559294,31433,31474,7198,5566,1632,637042,7609,123988
03-Mar-06,425708,5042,121081,551831,32871,32912,6093,4464,1629,631676,7609,126419
24-Feb-06,422460,5046,123611,551117,33619,33646,6895,5266,1629,625778,7609,122784
17-Feb-06,423908,4795,112584,541287,24754,24796,7756,6015,1741,624363,7609,123195
10-Feb-06,423033,4992,120866,548891,35533,35574,7985,6143,1842,617391,7590,119609
03-Feb-06,417781,4814,111330,533924,26300,26341,7083,5165,1918,614936,7590,121984
27-Jan-06,415112,4633,122230,541975,34818,34859,9256,7212,2043,612192,7590,121882
20-Jan-06,416161,4556,113127,533844,27323,27364,8423,6084,2339,614837,7590,124330
13-Jan-06,417713,4808,131315,553836,46656,46698,8973,6397,2576,613776,8641,124212
06-Jan-06,411373,4603,108363,524339,18941,18925,5565,4178,1387,618422,8641,127230
30-Dec-05,406632,4610,124059,535302,27633,27479,9652,6900,2752,614254,8641,124878
23-Dec-05,408214,4445,110129,522788,-14071,-14096,6034,4513,1522,646764,8641,124581
16-Dec-05,409513,4453,126006,539972,7025,7066,4711,3325,1387,652563,8618,132945
09-Dec-05,408341,4533,114651,527525,-5339,-5700,4594,3207,1387,659405,8618,139754
02-Dec-05,402734,4780,118242,525756,-8246,-8536,5391,4004,1387,654156,8618,134162
25-Nov-05,401742,4807,117043,523592,-7872,-8064,5529,4142,1387,644535,8618,127219
18-Nov-05,404576,4502,121447,530526,-1466,-1582,6371,4484,1887,643994,8675,127048
11-Nov-05,406551,4503,113965,525019,-7013,-7030,7037,5190,1846,644963,8675,128643
04-Nov-05,406185,4573,120208,530966,-157,526,5486,4099,1387,641413,8675,124450
28-Oct-05,394282,4609,111995,510885,-19815,-19853,4957,3570,1387,641295,8675,124227
21-Oct-05,390538,4606,117285,512429,-18215,-18184,5322,3935,1387,638269,8741,121688
14-Oct-05,392397,5067,121427,518891,-11333,-11361,5271,3884,1387,637065,8741,120853
07-Oct-05,386622,4716,114258,505596,-25362,-25546,5223,3836,1387,628829,8741,111835
30-Sep-05,379060,5192,113096,497348,-33950,-33909,5933,4546,1387,623022,8741,106398
23-Sep-05,380372,4748,122182,507302,-22223,-22293,5037,3650,1387,622010,8183,105705
16-Sep-05,383893,4937,115380,504210,-26306,-26556,5436,4049,1387,626431,8183,109534
09-Sep-05,384321,4719,101438,490478,-40295,-40448,4871,3484,1387,630188,8183,112469
02-Sep-05,380163,5453,108727,494343,-35756,-35715,5016,3629,1387,633319,8183,116419
26-Aug-05,380697,4711,111449,496857,-33121,-33430,4511,3124,1387,622573,8183,105290
19-Aug-05,384372,4781,115468,504621,-25508,-25656,4778,3391,1387,617820,8183,100652
12-Aug-05,385267,4687,112010,501965,-29058,-29266,4824,3437,1387,623069,8190,105059
05-Aug-05,383280,5165,101457,489903,-32684,-33054,4584,3197,1387,613600,8190,103786
29-Jul-05,380382,5469,121399,507250,-9190,-9878,5028,3641,1387,604683,8190,101460
22-Jul-05,384337,4933,108186,497455,-7509,-7927,4829,3442,1387,590033,8190,98088
15-Jul-05,388197,4897,113825,506919,2432,2273,4985,3598,1387,591856,7832,100185
08-Jul-05,389267,4872,103484,497622,-5259,-5610,5251,3864,1387,590468,7832,100670
01-Jul-05,386300,5028,108897,500224,-3196,-3499,6344,4958,1387,591464,7832,102220
24-Jun-05,388538,4435,103317,496290,-8699,-8658,7802,6413,1390,598202,7832,108847
17-Jun-05,391831,4747,107306,503884,-757,-716,6940,5551,1390,601526,7495,111320
10-Jun-05,393192,4362,107779,505333,-770,-729,7924,6534,1390,596570,7495,105887
03-Jun-05,391643,4396,106155,502194,-4170,-4312,7615,6226,1390,598604,7495,107351
27-May-05,389838,4302,96554,490695,-16067,-16921,8483,7093,1390,602321,7495,111538
20-May-05,393111,4289,105989,503389,-1038,-1024,7657,6268,1390,601266,7435,111932
13-May-05,394627,4247,112512,511387,7612,5517,7029,5640,1390,602580,7435,113271
06-May-05,391483,4612,102219,498314,-5588,-7027,6585,5196,1390,608357,7435,118475
29-Apr-05,384319,4462,111859,500640,-1199,-5850,6596,5206,1390,613095,7435,125288
22-Apr-05,383480,4433,104903,492816,-9260,-13760,6378,4988,1390,617274,7448,129024
15-Apr-05,381752,4682,110653,497088,-4541,-8720,6343,4954,1390,614051,7448,126213
08-Apr-05,376799,4544,104028,485372,-16562,-17847,6524,5135,1390,612862,7448,124901
01-Apr-05,368000,6295,100325,474619,-27662,-28214,6634,5244,1390,611443,7448,123243
25-Mar-05,369935,6379,117126,493440,-8233,-8519,7682,6292,1390,611172,7448,124629
18-Mar-05,368661,6478,113996,489135,-17975,-30770,6648,5258,1390,612790,7448,119776
11-Mar-05,367486,4774,103631,475891,-13282,-14280,6186,4796,1390,605595,7435,130042
04-Mar-05,363050,4420,96643,464113,-16077,-16713,6130,4740,1390,595008,7435,128382
25-Feb-05,358982,5478,102198,466659,-4680,-6881,6125,4735,1390,586453,7435,128674
18-Feb-05,361254,4364,96186,461804,-2037,-4517,6530,5140,1390,576600,7435,126723
11-Feb-05,361807,4368,100827,467002,12514,11453,6417,5027,1390,562933,7436,122298
04-Feb-05,359105,4418,99762,463285,12560,11849,6405,5015,1390,554312,7436,117427
28-Jan-05,356420,4464,103590,464474,13530,10137,7482,6092,1390,561595,7436,125569
21-Jan-05,357994,5510,102227,465731,14187,11023,8124,6234,1890,560344,7436,124360
14-Jan-05,358584,4411,99348,462344,11518,9908,7637,5747,1890,560947,7431,125189
07-Jan-05,355917,4548,88541,449007,-2265,-3686,7302,5412,1890,559597,7431,123058
31-Dec-04,351088,4642,113674,469404,18333,15337,8180,6290,1890,565418,7431,129958
24-Dec-04,353646,4721,96595,454961,4770,2594,7483,5593,1890,568140,7431,132861
17-Dec-04,355766,4191,98433,458390,9014,7686,6603,4713,1890,569204,7374,133804
10-Dec-04,357298,4259,91444,453002,5101,4626,5130,3240,1890,572350,7374,136953
03-Dec-04,355828,4372,97253,457452,9630,8910,5049,3159,1890,572243,7374,136844
26-Nov-04,354914,4403,96337,455655,18204,14052,7328,5438,1890,565559,7374,142811
19-Nov-04,359536,6615,103112,469262,34073,29637,8604,6545,2059,558591,7361,139366
12-Nov-04,359900,6788,92073,458760,30737,27380,7097,4688,2409,552420,7361,138854
05-Nov-04,349185,6645,97297,453127,30388,27093,6848,4852,1996,545322,7361,136791
29-Oct-04,342164,6501,93715,442380,22554,18135,4187,2297,1890,544963,7361,136685
22-Oct-04,342921,6681,99765,449366,31261,25371,3922,2032,1890,546150,7341,139308
15-Oct-04,341067,6670,91435,439172,20865,15524,3773,1883,1890,542755,7341,135562
08-Oct-04,338320,6694,92591,437605,18902,15312,3832,1942,1890,540918,7341,133388
01-Oct-04,332798,7039,88352,428190,8694,7868,4281,2391,1890,541846,7341,133972
24-Sep-04,334151,4487,90235,428872,10571,7880,3734,1844,1890,539787,7341,132561
17-Sep-04,337179,4411,81826,423415,4585,2392,3756,1866,1890,536677,7341,128945
10-Sep-04,338572,4544,84299,427415,7649,5782,4299,2409,1890,541166,7339,133038
03-Sep-04,336900,4516,87016,428432,9001,7761,4130,2240,1890,538581,7339,130618
27-Aug-04,334587,4470,83372,422429,3080,750,4416,2526,1890,538271,7339,130677
20-Aug-04,336387,4491,88995,429873,10580,7380,4025,2135,1890,545026,7339,137097
13-Aug-04,338209,4428,92823,435460,16389,14163,3665,1775,1890,546034,7339,137967
06-Aug-04,337441,4700,80931,423072,6322,4137,3306,1416,1890,548054,7339,141948
30-Jul-04,333981,4682,84300,422962,4675,1554,5576,3686,1890,543370,7339,137998
23-Jul-04,337556,4564,82275,424395,2363,-1640,5121,3231,1890,546541,7339,136967
16-Jul-04,341154,4488,83811,429453,7314,3693,5234,3344,1890,552997,7333,143423
09-Jul-04,342644,4642,76315,423600,1270,0,4925,3035,1890,546731,7333,136657
02-Jul-04,340570,5231,78912,424712,2931,577,5073,3183,1890,545881,7333,136504
25-Jun-04,341345,3656,84700,429700,10764,6891,4495,2605,1890,541938,7333,134829
18-Jun-04,344500,4553,76123,425176,3009,-1207,4226,2332,1894,541274,7324,130657
11-Jun-04,346822,3523,84443,434787,12354,9288,4175,2254,1921,532436,7324,121501
04-Jun-04,345950,3773,77246,426969,6812,5016,3916,1985,1931,535073,7324,126155
28-May-04,343094,3803,79611,426508,4259,651,5911,3795,2116,537506,7324,128492
21-May-04,345565,3662,85598,434825,14314,10320,4487,2466,2021,531221,7314,122511
14-May-04,347650,3683,81379,432712,8921,4957,4309,2288,2021,532804,7314,120635
07-May-04,346254,3690,76558,426503,4668,1272,4237,2215,2022,524226,7314,113941
30-Apr-04,341135,3807,90141,435083,13361,7689,5438,3416,2022,520009,7314,111038
23-Apr-04,340753,3857,83968,428578,8377,5760,5681,3659,2022,514531,7296,107305
16-Apr-04,339601,3826,72340,415768,-1647,-6028,6249,4225,2024,510219,7296,106350
09-Apr-04,334491,3729,83416,421636,14972,10623,6383,4342,2041,500461,7296,107474
02-Apr-04,326421,4372,84852,415645,23279,22599,7939,5866,2073,487302,7296,110170
26-Mar-04,327283,5079,84703,417065,31981,27445,4549,2493,2056,493648,7296,120408
19-Mar-04,328262,4209,75305,407776,27483,23305,3917,1874,2043,497402,7296,128322
12-Mar-04,329369,3471,84320,417159,35681,34010,4424,2370,2054,496114,7291,126351
05-Mar-04,325962,3300,82424,411687,36430,32650,4352,2289,2063,494433,7291,130819
27-Feb-04,322212,3279,79164,404655,34745,30566,5145,3082,2063,490433,7291,132960
20-Feb-04,323170,3470,77264,403904,37469,30512,4417,2356,2061,487435,7291,132708
13-Feb-04,323543,3269,74720,401532,40145,35269,4111,2055,2056,486564,7280,136568
06-Feb-04,320959,3582,73263,397804,38111,34307,3842,1783,2059,482697,7280,134126
30-Jan-04,315925,4034,78060,398018,39922,35841,5917,3850,2067,475842,7280,130943
23-Jan-04,316382,3463,84257,404102,52409,48250,5621,3557,2064,472895,7280,134104
16-Jan-04,317729,3352,73007,394088,43313,36919,5323,3253,2070,468745,7272,130564
09-Jan-04,316251,3316,75677,395243,48161,40459,5721,3564,2157,472416,7272,138326
02-Jan-04,312177,3889,77957,394023,49572,43737,4789,2718,2071,465465,7272,133075
26-Dec-03,312387,3693,75068,391149,50576,43831,5324,3244,2080,458605,7272,130628
19-Dec-03,313031,3174,76209,392415,53709,45488,5440,3349,2091,455560,7262,129557
12-Dec-03,314370,3369,77622,395360,59434,53083,5134,3044,2090,450693,7262,127163
05-Dec-03,312539,3367,74411,390316,58440,52263,5125,3026,2099,444983,7262,125493
28-Nov-03,308811,3362,79001,391174,63839,57997,5020,2936,2084,441078,7262,126025
21-Nov-03,309114,3255,74070,386440,60919,54618,5094,3020,2074,436956,7252,123781
14-Nov-03,310416,3280,68860,382555,64353,58203,4708,2633,2075,424723,7252,118480
07-Nov-03,310187,3292,73190,386670,66974,61156,5183,2289,2894,422132,7252,114871
31-Oct-03,306319,4847,75496,386662,71210,66168,5552,2653,2899,419623,7252,116975
24-Oct-03,305416,3457,72186,381059,71009,66684,5636,2601,3035,416714,7229,119528
17-Oct-03,301231,3463,67583,372278,62624,59518,5225,2297,2928,414273,7229,117072
10-Oct-03,300346,3877,83403,387626,81829,76015,5489,2486,3003,410168,7229,117089
03-Oct-03,295499,4181,72543,372223,76431,72321,5009,2019,2990,398973,7229,115418
26-Sep-03,292117,4028,71863,368009,62738,59439,5402,2433,2969,409702,7229,117062
19-Sep-03,294401,3660,69108,367168,63082,59675,6120,3106,3014,406673,7229,115936
12-Sep-03,296867,3540,78337,378743,75571,73219,6093,3116,2977,402198,7211,112329
05-Sep-03,296336,3426,77081,376843,73099,69635,5843,2865,2978,401292,7211,110601
29-Aug-03,292483,3505,72861,368849,67890,63957,5746,2795,2951,395551,7211,107548
22-Aug-03,295313,3558,75439,374309,74786,69548,6263,3312,2951,392463,7211,106413
15-Aug-03,297936,3562,81196,382694,87104,83215,5786,2806,2980,392197,7175,109568
08-Aug-03,297579,3595,69466,370641,85716,82328,6333,2886,3447,391241,7175,119824
01-Aug-03,294062,4537,65924,364523,80564,78176,5792,2835,2957,390926,7175,119933
25-Jul-03,295914,3997,78841,378752,96706,93572,7425,4480,2945,391984,7175,124539
18-Jul-03,299692,3600,71998,375290,92707,87326,8209,5283,2926,388844,7155,121625
11-Jul-03,302651,3720,69081,375452,98421,94314,8012,5048,2964,384244,7155,122380
04-Jul-03,302307,3688,67528,373524,102035,99183,7727,4841,2886,383517,7155,126912
27-Jun-03,300355,3308,81740,385403,116229,113419,8644,5669,2975,380954,7155,127578
20-Jun-03,303713,3955,71073,378741,109971,107799,8479,5494,2985,382344,7141,129195
13-Jun-03,305652,2721,78011,386385,119304,116856,8597,5570,3027,384928,7141,133584
06-Jun-03,305091,2415,71108,378615,111851,109970,8505,5503,3002,382447,7141,131328
30-May-03,301064,2455,85918,389437,123545,119764,8172,5164,3008,382579,7141,132001
23-May-03,303414,2482,71524,377420,112568,108577,8861,5823,3038,379468,7107,130584
16-May-03,304447,2674,79201,386322,126876,126170,8514,5591,2923,373493,7107,129668
09-May-03,303201,2497,70713,376410,118084,114213,8727,5731,2996,370729,7107,128236
02-May-03,295132,2957,87782,385871,129458,126664,9049,6055,2994,367467,7107,127210
25-Apr-03,293695,2703,73257,369654,113913,108008,9225,6277,2948,364658,7107,125249
18-Apr-03,294871,3071,82318,380260,127259,122691,9448,6447,3001,360383,7107,123937
11-Apr-03,291538,3149,69676,364363,111202,107937,9540,6537,3003,359128,7071,122578
04-Apr-03,284425,3825,68404,356654,105976,103489,9788,6777,3011,355686,7071,121868
28-Mar-03,283347,3595,82009,368951,120386,114968,12273,7471,4802,355710,7071,126489
